epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,635.048,1.98542,3.57966,3.54031,1.6798,0.54248,0.33712,0.24886,0.12012,0.53559,0.33886,0.24506,0.1199,2.04685,3.14565,4.31491,1.81807,0.000414644,0.000414644,0.000414644
2,1402.87,1.95347,3.08333,2.46434,1.65006,0.21671,0.27457,0.18955,0.08284,0.27275,0.22965,0.19351,0.08757,2.30153,3.3502,3.64302,2.06592,0.000790161,0.000790161,0.000790161
3,2251.72,2.04985,2.98703,2.36781,1.73259,0.42605,0.29826,0.32822,0.13509,0.40267,0.28091,0.27996,0.10917,2.37425,3.25905,2.85228,2.01622,0.00112443,0.00112443,0.00112443
4,3130.69,2.02712,2.9355,2.32053,1.69412,0.39385,0.43291,0.38136,0.17507,0.41127,0.43511,0.39061,0.18629,2.07087,2.77624,2.24338,1.78625,0.00106437,0.00106437,0.00106437
5,3999.12,2.00253,2.8835,2.30706,1.70711,0.70983,0.34755,0.36599,0.15482,0.718,0.34303,0.36329,0.16813,2.19659,3.03725,2.3783,1.82094,0.0010025,0.0010025,0.0010025
6,4864.42,1.88829,2.7359,2.16839,1.60727,0.66862,0.40597,0.40524,0.18906,0.68477,0.39763,0.39626,0.21347,2.00497,2.63433,2.01539,1.67233,0.000940625,0.000940625,0.000940625
7,5716.64,1.85775,2.72672,2.04577,1.60641,0.49835,0.43263,0.4241,0.21397,0.52369,0.44848,0.4374,0.22244,1.97553,2.61483,2.0214,1.66784,0.00087875,0.00087875,0.00087875
8,6575.55,1.79313,2.56596,1.99586,1.55754,0.51318,0.52972,0.49405,0.24606,0.50116,0.5129,0.47459,0.23679,1.92479,2.52458,1.8625,1.62699,0.000816875,0.000816875,0.000816875
9,7417.66,1.74026,2.54401,1.85143,1.54059,0.44043,0.51472,0.46091,0.23771,0.5156,0.48497,0.47488,0.25136,1.79693,2.50915,1.90589,1.59965,0.000755,0.000755,0.000755
10,8290.66,1.66745,2.41187,1.74731,1.49393,0.57927,0.54028,0.5709,0.31325,0.56904,0.57215,0.57076,0.3164,1.76263,2.23088,1.62467,1.4867,0.000693125,0.000693125,0.000693125
11,9161.37,1.74391,2.33754,1.72457,1.54512,0.55141,0.48109,0.52636,0.25946,0.58536,0.48379,0.5239,0.26381,1.81728,2.24567,1.70563,1.54579,0.00063125,0.00063125,0.00063125
12,10027.3,1.68836,2.21051,1.66708,1.53073,0.56908,0.60185,0.59565,0.33444,0.55007,0.60513,0.59053,0.32972,1.62578,2.1747,1.53472,1.44292,0.000569375,0.000569375,0.000569375
13,10882.5,1.64636,2.15601,1.49254,1.47641,0.65043,0.58016,0.60357,0.33335,0.67359,0.59322,0.61634,0.34749,1.70327,2.13454,1.48428,1.51183,0.0005075,0.0005075,0.0005075
14,11731.8,1.55876,2.11681,1.41941,1.43281,0.57158,0.57338,0.57496,0.32606,0.56484,0.58334,0.57851,0.32934,1.62048,2.11203,1.49538,1.47224,0.000445625,0.000445625,0.000445625
15,12557.7,1.56489,2.07445,1.41891,1.41682,0.76795,0.49319,0.62008,0.34813,0.76969,0.49517,0.61334,0.34122,1.58907,2.13935,1.39919,1.42102,0.00038375,0.00038375,0.00038375
16,13423.5,1.45798,2.03681,1.37077,1.36726,0.57888,0.61558,0.60138,0.34767,0.61105,0.58495,0.59273,0.34153,1.53264,1.96651,1.39433,1.39303,0.000321875,0.000321875,0.000321875
17,14167.6,1.43643,1.95615,1.28314,1.36943,0.6492,0.64752,0.65527,0.38894,0.6015,0.64126,0.63752,0.36788,1.50404,1.98612,1.31351,1.36947,0.00026,0.00026,0.00026
18,14971.8,1.4154,1.96265,1.26744,1.34927,0.66166,0.63723,0.6694,0.39331,0.68254,0.62787,0.65974,0.38181,1.49502,1.91318,1.3411,1.35916,0.000198125,0.000198125,0.000198125
19,15777.3,1.37805,1.86236,1.15829,1.30757,0.68137,0.6635,0.68849,0.40997,0.72649,0.6296,0.6784,0.39603,1.47442,1.89948,1.26702,1.3484,0.00013625,0.00013625,0.00013625
20,16566.4,1.29256,1.8336,1.10602,1.28978,0.68174,0.71161,0.701,0.41776,0.67852,0.69802,0.69094,0.39879,1.44075,1.88123,1.22647,1.33134,7.4375e-05,7.4375e-05,7.4375e-05
